id_son,hhid,id_daughter,hgc,byear_dad,byear_mom,age_firstSurvey,useDad,survey,CASEID,byear,share_married,women,surv79,dad_age_inc1,mom_age_inc1,dad_age_inc,mom_age_inc,mom_age_at_birth,dad_age_at_birth,mom_outOfRange,dad_outOfRange,linkDad,linkMom,linkBoth,parent1,zero_parent1,ms_parent1,parent2,zero_parent2,ms_parent2,parent3,zero_parent3,ms_parent3,nparent,miss0,faminc0,lfaminc0,loginc66,loginc79,kid_age_parentInc,kid1,kid2,kid3,zero_kid1,ms_kid1,zero_kid2,ms_kid2,zero_kid3,ms_kid3,nkid,miss1,miss1_early,miss1_prime,faminc1,lfaminc1,faminc1_early,lfaminc1_early,faminc1_prime,lfaminc1_prime,up0,owninc,lown,miss1_own,miss_spouse,spouse_inc,spouse_age,weight,weight_incFirst,weight_incLast,weight_incAvg,all_parent,all_kid,married,n
,1400,,8,,,17,,1979,1400,1962,0,1,1,33,31,39.33333,36.66667,15,17,0,1,0,1,0,27244.14,0,0,,0,1,,0,1,1,0,27244.14,10.21259,0,10.21259,16,20079.56,64400.82,7282.183,0,0,0,0,0,0,3,0,1,0,30587.52,10.32835,0,,30587.52,10.32835,1,23666.67,10.07182,0,0,,48,921,1167,1157,,0,1,0,1
,10428,,13,,,19,,1979,10429,1960,100,1,1,49,45,50,46,27,31,0,0,1,1,1,23168.42,0,0,19721.56,0,0,14383.73,0,0,3,0,19091.24,9.856985,0,9.856985,19,,128801.6,,0,1,0,0,0,1,1,0,0,0,128801.6,11.76603,61965.39,11.03433,128801.6,11.76603,1,0,,1,0,128801.6,43,1096,1406,1406,,1,0,100,1
,12555,,,,,19,,1979,12556,1960,,1,1,44,34,45,35,16,26,0,1,0,1,0,,0,1,,0,1,,0,1,0,1,,,,,,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,768,,,,0,0,,1
,1168,,12,,,18,,1979,1168,1961,,1,1,,,,35.5,17,,0,1,0,1,0,79916.16,0,0,94689.59,0,0,34405.89,0,0,3,0,69670.55,11.15153,0,11.15153,18,,,,0,1,0,1,0,1,0,1,0,1,,,12951.89,9.468997,,,,,,1,0,,,1249,,,,1,0,,1
,1276,,13,,,16,,1979,1276,1963,0,1,1,39,42,40,43,27,24,0,1,0,1,0,127139.3,0,0,127341.2,0,0,106439.6,0,0,3,0,120306.7,11.6978,0,11.6978,16,45513.66,49009.02,55830.07,0,0,0,0,0,0,3,0,0,0,50117.59,10.82213,57235.68,10.95493,50117.59,10.82213,0,39333.33,10.57983,0,0,,,5448,6935,7071,,1,1,0,1
,6753,,,,,19,,1979,6753,1960,0,1,1,,37,,38,19,,0,1,0,1,0,,0,1,,0,1,43151.2,0,0,1,0,43151.2,10.67247,0,10.67247,20,,294986.7,,0,1,0,0,0,1,1,0,1,0,294986.7,12.59469,,,294986.7,12.59469,1,75000,11.22524,0,0,,,1370,1580,1580,,0,0,0,1
,6980,,,,,22,,1979,6980,1957,,1,1,58,54,59,55,33,37,1,0,1,0,0,,0,1,,0,1,,0,1,0,1,,,,,,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,547,,,,0,0,,1
,5563,,12,,,20,,1979,5563,1959,,1,1,43,38,44,39,19,24,0,1,0,1,0,,0,1,,0,1,,0,1,0,1,,,,,,,,,0,1,0,1,0,1,0,1,0,1,,,55346.24,10.92136,,,,,,1,0,,,1281,,,,0,0,,1
,6919,,,,,19,1,1979,6919,1960,,1,1,37,36,38,37,18,19,0,1,0,1,0,28439.25,0,0,,0,1,29279.53,0,0,2,0,28859.39,10.27019,0,10.27019,19,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,937,,,,0,0,,1
,10387,,,,,15,,1979,10388,1964,,1,1,51,46,52,47,32,37,1,0,1,0,0,30876.7,0,0,19590.95,0,0,43151.2,0,0,3,0,31206.28,10.34837,0,10.34837,15,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,890,,,,1,0,,1
