survey,id,women,wt_nls_parent,wt_nls_kid,wt_nls_avg
1966,252,0,307824.9,382747.9,345286.4
1979,252,1,2330.892,1590.3,1960.596
1979,253,0,12124.42,7768.072,9946.248
1966,254,1,359480.9,379571,369525.9
1979,255,1,6718.42,3216.478,4967.449
1979,256,1,1503.018,5174.626,3338.822
1966,257,1,194708,161325.7,178016.8
1979,257,0,2550.36,6544.967,4547.664
1979,260,0,4156.669,4560.443,4358.556
1979,261,0,3774.713,4883.694,4329.204
1979,263,0,2993.318,4204.514,3598.916
1966,265,0,273398.2,270009.9,271704.1
1979,265,1,2664.471,3820.794,3242.633
1966,268,0,303182.1,388268.9,345725.5
1966,269,0,325033.1,504129.3,414581.2
1966,270,1,360283.6,510100.8,435192.2
1979,270,0,2162.249,5774.612,3968.43
1966,271,0,443762.1,336809.9,390286
1966,272,0,387621.3,319242.8,353432.1
1979,275,1,1361.382,1171.764,1266.573
1966,276,1,581280.4,626785.5,604032.9
1979,276,1,1503.018,4472.646,2987.832
1966,279,0,683367.9,520617.1,601992.5
1966,279,1,494850.8,583942.9,539396.9
1979,279,0,2953.017,4647.265,3800.141
1966,281,0,288341.9,476276.5,382309.2
1979,281,0,1867.117,6538.159,4202.638
1979,282,1,1985.616,4665.911,3325.763
1966,285,1,357133.1,368706.2,362919.6
1979,285,1,1701.303,863.2531,1282.278
1966,286,1,879888.8,514510.5,697199.6
1979,286,1,1756.403,1177.016,1466.709
1966,287,0,239427.3,576105.9,407766.6
1966,288,0,137845.2,124745.6,131295.4
1979,288,1,3254.508,7022.219,5138.363
1979,289,1,10247.93,5550.159,7899.042
1966,293,0,334682.8,268156.3,301419.5
1966,294,0,325352.2,279672.8,302512.5
1966,294,1,625002.7,440032.2,532517.4
1979,294,1,1539.724,3733.624,2636.674
1979,295,0,4432.521,6954.921,5693.721
1979,296,0,3497.243,5464.811,4481.027
1966,298,0,364962.5,407747.3,386354.9
1979,299,0,2519.091,1757.67,2138.381
1966,300,1,369463.1,357313.1,363388.1
1979,301,0,2506.353,1583.359,2044.856
1979,303,0,2183.67,1039.171,1611.42
1966,304,0,511912.1,604840,558376.1
1966,306,1,428366.4,345898.5,387132.4
1966,307,0,294197.5,387005.1,340601.3
1966,307,1,387439,515980.2,451709.6
1979,308,0,2056.866,7360.549,4708.707
1979,311,0,2282.496,5219.334,3750.915
1966,312,1,448722.1,547441,498081.5
1979,312,1,4028.964,7142.227,5585.596
1979,313,0,4443.805,6328.423,5386.114
1966,314,0,285870.2,434070.3,359970.3
1979,315,0,12481.3,6366.127,9423.715
1979,318,0,1499.118,6423.252,3961.185
1966,322,0,508329.6,334408.9,421369.3
1966,323,0,230608.8,335508.2,283058.5
1979,324,0,1737.175,4081.657,2909.416
1966,325,0,325567.8,334044.4,329806.1
1966,325,1,490740.3,535602.8,513171.5
1979,325,0,4201.705,5995.456,5098.581
1966,327,1,318215.8,329454.3,323835.1
1979,331,0,1698.93,423.4266,1061.178
1979,332,0,1292.345,1148.36,1220.353
1966,333,1,253820.5,86907.69,170364.1
1966,337,1,342415.6,539817.2,441116.4
1979,339,1,1533.062,1004.804,1268.933
1979,340,1,1522.462,1874.104,1698.283
1966,341,0,93841.3,102575.9,98208.59
1979,346,0,3985.834,2134.946,3060.39
1966,347,0,321521.1,409785.7,365653.4
1979,347,1,2512.785,2679.377,2596.081
1966,349,0,365739.6,318853.6,342296.6
1979,350,0,3503.573,5227.225,4365.399
1966,352,1,440211.2,533708.4,486959.8
1979,352,1,7918.381,4088.911,6003.646
1979,355,0,3427.306,4161.192,3794.249
1979,356,0,3730.947,4819.508,4275.228
1979,358,0,2196.166,4531.649,3363.908
1979,359,1,3582.748,3209.552,3396.15
1966,360,1,451654.6,819550.3,635602.4
1979,360,1,991.632,1529.01,1260.321
1966,362,1,576045.9,415090,495567.9
1979,363,1,2540.622,3939.575,3240.098
1966,364,1,599462.4,496890.6,548176.5
1979,366,0,452.7097,2246.232,1349.471
1979,374,1,3524.514,4328.439,3926.477
1966,375,0,284785.2,408359.7,346572.4
1979,378,0,1852.969,1375.285,1614.127
1979,379,1,2643.833,576.6154,1610.224
1966,380,1,457625.7,369058.6,413342.1
1966,381,1,408485.1,489801.8,449143.5
1966,383,1,583050.3,388878.6,485964.4
1979,384,0,1155.879,1445.19,1300.534
1966,385,0,540555.5,564740.3,552647.9
1966,385,1,629821.1,255053.1,442437.1
1979,385,1,1474.142,2579.588,2026.865
1966,386,0,486300.1,420913.1,453606.6
1979,386,1,1464.404,2019.764,1742.084
1966,387,1,235121.8,357725.1,296423.4
1979,387,0,1419.461,2160.921,1790.191
1979,388,1,4668.137,1649.584,3158.86
1966,390,0,253448.1,262495.2,257971.6
1979,391,1,3646.141,3408.732,3527.437
1979,393,0,3840.783,4279.316,4060.05
1966,395,1,427958.5,610638.7,519298.6
1966,396,1,357124.9,757966.3,557545.6
1979,396,0,2691.169,1865.793,2278.481
1966,397,1,520015.4,133694.4,326854.9
1966,398,1,409188.7,371073.7,390131.2
1966,399,1,429711.6,130263.4,279987.5
1979,400,1,5537.233,5047.638,5292.436
1966,401,0,362200.4,414165.4,388182.9
1979,401,1,5108.189,5516.661,5312.425
1966,403,0,526659.9,573042.5,549851.3
1966,404,0,526659.9,564713.6,545686.8
1966,406,1,521390.5,631478.8,576434.7
1979,406,0,2750.807,5568.564,4159.686
1966,407,1,355956.8,382095,369025.9
1979,407,1,7992.537,7829.342,7910.939
1979,408,0,2927.983,4511.347,3719.665
1966,409,0,64462.91,535050.1,299756.5
1966,411,0,116520.8,260282,188401.4
1979,411,0,1151.474,4799.963,2975.718
1966,412,0,116520.8,212542.4,164531.6
1979,412,0,1440.056,4379.772,2909.914
1966,413,0,113272.2,563558.1,338415.1
1966,414,1,439348.4,562576.7,500962.6
1979,414,1,7955.534,5737.933,6846.733
1966,415,0,366293.6,449252.4,407773
1966,415,1,642766.8,894835.3,768801.1
1979,415,0,14274.04,4978.822,9626.43
1966,416,0,456399.7,528511.8,492455.8
1966,416,1,381281.7,372794.2,377037.9
1966,417,1,417251.2,618290,517770.6
1979,418,1,6678.795,10027.71,8353.252
1966,419,1,455741.8,494852.7,475297.2
1979,419,0,2132.885,7050.399,4591.642
1966,420,1,478114.8,686073.6,582094.2
1979,420,0,3898.745,6046.166,4972.455
1966,421,0,440645.9,343279.1,391962.5
1966,422,1,416432.4,601262.3,508847.3
1966,423,0,332882.4,456196.4,394539.4
1966,424,1,415405.3,782391.3,598898.3
1966,425,1,415405.3,770929.4,593167.4
1966,430,1,480198.4,376756.3,428477.3
1966,432,0,315457,393406.2,354431.6
1966,434,1,398406.6,563717.1,481061.8
1979,434,0,4946.44,5701.087,5323.764
1966,436,1,479898.4,488531.8,484215.1
1966,438,0,311060.6,536898.1,423979.3
1979,438,1,497.6162,1293.027,895.3215
1966,439,0,302388.2,338022.6,320205.4
1979,439,1,1187.526,2933.853,2060.69
1979,440,0,1405.194,3217.62,2311.407
1979,441,0,3240.731,3488.826,3364.779
1966,442,0,374343.8,472961.6,423652.8
1966,443,1,1006285,337156.3,671720.4
1979,443,0,3427.43,4695.485,4061.458
1966,444,1,441325.9,421348.7,431337.3
1979,444,1,1127.337,5127.723,3127.53
1979,445,0,1088.356,4758.688,2923.522
1966,447,1,459059.8,315939.9,387499.9
1966,448,1,392870.9,466532.2,429701.6
1979,450,0,1283.731,4453.954,2868.843
1979,451,0,1233.549,5418.721,3326.135
1979,452,1,2416.49,1175.697,1796.093
1966,455,1,534014.3,434329,484171.7
1966,456,0,384668.4,535881.8,460275.1
1966,456,1,630200,586152.1,608176
1966,458,0,329205.5,490766.3,409985.9
1966,458,1,407085.2,113069,260077.1
1979,458,1,1180.511,4454.476,2817.494
1979,459,1,2583.682,3110.092,2846.887
1979,460,1,2083.327,5530.858,3807.092
1979,461,0,1567.511,3895.366,2731.439
1966,462,0,199184.6,376739.6,287962.1
1966,464,0,219835,641344.5,430589.8
1966,464,1,244369.2,159747.9,202058.5
1966,465,1,109090.1,154871.5,131980.8
1979,465,1,4344.072,3131.73,3737.901
1966,467,0,184889.4,303015.3,243952.4
1966,468,1,358838.7,145142.5,251990.6
1966,469,1,441364.9,509543.2,475454.1
1979,469,0,220.0251,1304.888,762.4565
1966,470,0,192498.7,149934.2,171216.4
1979,470,0,1598.104,1717.094,1657.599
1966,474,0,78676.5,147246.3,112961.4
1979,476,1,5128.453,6779.504,5953.979
1966,477,0,402842.9,570501.6,486672.3
1979,477,0,25013.67,7434.611,16224.14
1966,478,0,225219.2,423042.6,324130.9
1979,479,0,4243.711,7188.493,5716.102
1966,480,1,386263.2,177292.5,281777.9
1966,481,1,299249.2,342490.6,320869.9
1979,484,0,6569.845,6983.544,6776.695
1966,485,0,326523.7,376153.5,351338.6
1979,485,1,3056.016,3808.309,3432.163
1966,486,0,264719.7,401995.4,333357.6
1966,486,1,162207.5,100024.9,131116.2
1979,486,0,3410.227,3112.816,3261.521
1966,487,0,254835.7,459512.3,357174
1966,487,1,227345,147588.2,187466.6
1966,488,0,254835.7,255077,254956.3
1979,488,0,1533.061,5631.812,3582.437
1966,489,0,380622.8,364490.6,372556.7
1979,489,0,2062.675,5219.598,3641.136
1966,490,1,315092.8,113664.7,214378.8
1966,491,0,633393.6,393663.8,513528.7
1979,492,1,6171.478,2107.922,4139.7
1966,493,1,360421.1,326883.9,343652.5
1979,493,0,7688.645,5945.17,6816.907
1966,494,1,443311.4,243199.3,343255.4
1979,496,1,1877.82,4571.919,3224.87
1966,497,1,414030.9,484700.8,449365.8
1966,499,0,276501.3,331006.6,303753.9
1966,499,1,560441.6,504402.6,532422.1
1979,499,1,1085.143,4362.258,2723.7
1966,500,0,268792.3,530468.1,399630.2
1966,500,1,554972,449963.3,502467.6
1979,500,1,3912.127,3970.83,3941.479
1979,501,1,2547.558,4272.184,3409.871
1979,503,1,1131.778,3712.723,2422.25
1979,504,1,2509.708,5489.381,3999.544
1966,505,0,334928.5,290589.5,312759
1979,507,1,4352.517,3727.544,4040.03
1966,508,0,464660.3,260340.5,362500.4
1979,508,0,5123.849,6227.045,5675.447
1966,509,0,367979.8,327552.6,347766.3
1966,509,1,383228.1,442271.7,412749.9
1966,510,1,471363.5,473933.9,472648.7
1966,511,1,360888.4,395104,377996.3
1979,511,0,3257.323,8626.801,5942.062
1966,512,0,138394.7,270617.4,204506
1966,512,1,472387.1,403660.9,438024
1966,515,0,339497.1,466212.4,402854.8
1966,516,0,339497.1,313237.8,326367.4
1966,516,1,506132.5,386776.5,446454.5
1979,516,0,1603.619,676.978,1140.298
1979,517,0,2012.62,1847.96,1930.29
1966,518,0,640324.1,485834.4,563079.3
1979,518,0,2026.186,1715.757,1870.971
1966,519,1,426683.7,386876.3,406779.9
1979,519,1,2751.321,2643.002,2697.162
1966,520,0,301815.9,451820.9,376818.4
1966,521,1,433690.7,584670.7,509180.7
1966,522,0,291465.3,529999.6,410732.4
1966,523,0,438053.8,428990.2,433522
1979,523,0,481.2267,1884.59,1182.909
1966,525,0,380557.3,353184.3,366870.8
1966,526,1,360184.4,509798.8,434991.6
1979,528,1,2829.494,2806.729,2818.111
1966,529,1,560396.7,262000,411198.3
1966,531,0,600202.3,339218.5,469710.4
1966,532,1,126509.9,140393.7,133451.8
1966,533,1,506056.5,456698.8,481377.7
1979,534,0,5927.105,6847.24,6387.173
1979,535,0,11105.54,4090.81,7598.177
1966,536,0,286261.4,377372.7,331817.1
1979,537,0,13747.38,7329.867,10538.63
1966,540,0,120538,112887.8,116712.9
1979,540,0,2170.583,5842.148,4006.366
1966,541,1,303307.6,374020,338663.8
1979,541,0,2170.583,5165.288,3667.936
1979,542,1,2503.469,4839.114,3671.292
1966,545,0,197633.1,450230.5,323931.8
1979,546,1,6775.059,6219.067,6497.063
